순번,호선,역명,위치정보,,,,,,,
78,2호선,홍대입구D,"게이트에서 3,4번 방향(화장실앞)",,,,,,,
79,2호선,신촌A,"7,8번 출구에서 지하상가 방향",,,,,,,
80,2호선,신촌B,"5,6번 출구 게이트 옆",,,,,,,
81,2호선,신촌C,중앙(한우문고 건너편),,,,,,,
82,2호선,이대A,5번 출구 화장실 옆,,,,,,,
83,2호선,이대B,5번 출구,,,,,,,
84,2호선,아현,1~2번 3~4번 출구 중간,,,,,,,
85,2호선,충정로A,5~6번 출구 지하 화장실 옆,,,,,,,
86,2호선,용답,2번 출구방향 화장실 앞,,,,,,,
87,2호선,신답,1번출구 방향,,,,,,,
88,2호선,신설동B,6번 출구 방향 고객안내센터 앞,,,,,,,
89,2호선,도림천,1층 대합실 자동심장충격기 옆,,,,,,,
90,2호선,양천구청,2번출구 주변,,,,,,,
91,2호선,신정네거리,3번출구 계단 밑,,,,,,,
92,2호선,용두,"B1층 2,3번출구 쪽",,,,,,,
93,3호선,지축,게이트 앞,,,,,,,
94,3호선,구파발,4번출구 고객센터 맞은편,,,,,,,
95,3호선,연신내A,"1,2,6,7번 출구방향 통로",,,,,,,
96,3호선,불광A,B1 1번출구 계단 맞은편,,,,,,,
97,3호선,녹번,B1 1번출구 만남의 장소,,,,,,,
98,3호선,홍제A,B2 E계단 옆,,,,,,,
99,3호선,홍제B,B2 23번 게이트 옆,,,,,,,
100,3호선,무악재,고객상담실 맞은편,,,,,,,
101,3호선,독립문,B1 4번출구 태극기쉼터 앞,,,,,,,
102,3호선,경복궁A,"지하2층 4,6번출구 방향 공중전화 옆(G내부계단 옆)",,,,,,,
103,3호선,경복궁B,지하2층 23~24번 기둥사이(나게이트 옆),,,,,,,
104,3호선,안국A,B3 게이트 근처,,,,,,,
105,3호선,안국B,B3 게이트 근처,,,,,,,
106,3호선,종로3가C,B1대합실 나 게이트 안내부스 맞은편 상가 옆,,,,,,,
107,3호선,을지로3가B,"8,9번출구",,,,,,,
108,3호선,동대입구,2번출구 02호 상가 앞,,,,,,,
109,3호선,약수A,B1 3번출구쪽 게이트 내부 복도 중앙,,,,,,,
110,3호선,금호,"3,4번 출구 통로 입구 게이트 앞",,,,,,,
111,3호선,옥수,고객안내센터 옆,,,,,,,
112,3호선,압구정A,B1 6번출구 현대백화점 계단위,,,,,,,
113,3호선,압구정B,B1 4번출구 계단밑,,,,,,,
114,3호선,신사A,다 게이트 옆,,,,,,,
115,3호선,신사B,"6,7번 출구방향 공중전화옆",,,,,,,
116,3호선,잠원,게이트 외부,,,,,,,
117,3호선,고속터미널A,9호선 환승통로,,,,,,,
118,3호선,고속터미널B,대합실 중앙,,,,,,,
119,3호선,고속터미널C,대합실 중앙,,,,,,,
120,3호선,고속터미널D,대합실 중앙,,,,,,,
121,3호선,교대B,"13,14번출구 지하1층. 화장실옆",,,,,,,
122,3호선,남부터미널,2번출구 지하1층. 만남의 장소,,,,,,,
123,3호선,양재A,"1, 2번출구 방향",,,,,,,
124,3호선,양재B,"3, 4번출구 계단밑",,,,,,,
125,3호선,매봉,게이트 외부,,,,,,,
126,3호선,도곡,3번출구 지하2층. 만남의 장소,,,,,,,
127,3호선,대치,3456 출구쪽 출입구 외부,,,,,,,
128,3호선,학여울,게이트 외부,,,,,,,
129,3호선,대청,게이트 외부,,,,,,,
130,3호선,일원,45번 출구방향,,,,,,,
131,3호선,수서,게이트 외부,,,,,,,
132,3호선,가락시장A,"7번출구 롯데마트 입구, 화장실 옆",,,,,,,
133,3호선,경찰병원,게이트 외부,,,,,,,
134,3호선,오금A,게이트 외부,,,,,,,
135,4호선,당고개,1번출구 방면,,,,,,,
136,4호선,상계,3번 출구 좌측,,,,,,,
137,4호선,노원A,2번 출구 중앙통로,,,,,,,
138,4호선,창동A,1번 출구,,,,,,,
139,4호선,창동B,2번 출구,,,,,,,
140,4호선,쌍문,1번 출구,,,,,,,
141,4호선,수유A,"5, 6번 출구",,,,,,,
142,4호선,수유B,"7, 8번 출구",,,,,,,
143,4호선,미아A,"7, 8번 출구",,,,,,,
144,4호선,미아B,"3, 4번 출구",,,,,,,
145,4호선,미아사거리A,1번출구 옆,,,,,,,
146,4호선,미아사거리B,2~5번출구 방향 게이트 옆,,,,,,,
147,4호선,길음,5번 출구에서 10번 출구 방면,,,,,,,
148,4호선,성신여대입구A,"3번 출구에서 2, 1번 출구 방면",,,,,,,
149,4호선,성신여대입구B,"6, 7번 출구",,,,,,,
150,4호선,한성대입구,2번 출구에서 3번 출구 방면,,,,,,,
151,4호선,혜화A,3번 출구 남자화장실 옆,,,,,,,
152,4호선,혜화B,4번 출구 복도,,,,,,,
153,4호선,혜화C,1번 출구에서 4번 출구 방면,,,,,,,
154,4호선,동대문C,8번 출구,,,,,,,
155,4호선,동대문D,9번 출구에서 10번 출구 방면,,,,,,,
156,4호선,동대문역사문화공원C,1번 출구에서 4호선 방면 복도 좌측,,,,,,,
157,4호선,충무로A,8번 출구,,,,,,,
158,4호선,충무로B,"3,4번 출구 공중전화기 옆",,,,,,,
159,4호선,명동A,"1, 9, 10번 출구",,,,,,,
160,4호선,명동B,"4, 5, 6번 출구 게이트내부 계단 앞",,,,,,,
161,4호선,명동C,"4, 5, 6번 출구 게이트내부 계단 앞",,,,,,,
162,4호선,명동D,"4, 5, 6번 출구 게이트내부 계단 앞",,,,,,,
163,4호선,회현A,"3, 4, 5번 출구 B2에서 B1올라가는 계단 앞",,,,,,,
164,4호선,회현B,"1, 2번 게이트 안",,,,,,,
165,4호선,서울역F,4호선 11번 출구 근처 여자화장실 맞은편,,,,,,,
166,4호선,숙대입구,"5, 6번 출구 옆",,,,,,,
167,4호선,삼각지A,"1, 2, 5, 6번 출구 게이트 앞",,,,,,,
168,4호선,신용산,"1, 5, 6번 출구 게이트 앞",,,,,,,
169,4호선,이촌,"1, 4, 5번 출구 게이트 앞",,,,,,,
170,4호선,동작,2번 출구 방면 게이트 옆,,,,,,,
171,4호선,총신대입구A,2번 출구,,,,,,,
172,4호선,총신대입구B,14번 출구,,,,,,,
173,4호선,사당B,"11, 12번 출구에서 3번출구 방면",,,,,,,
174,4호선,사당C,"11, 12번 출구 게이트 앞",,,,,,,
175,4호선,남태령,1번 출구 E/V 옆(미정),,,,,,,
176,5호선,방화,"방화역 B1층 3,4번 출구 방면",,,,,,,
177,5호선,개화산,개화산역 B1층 게이트 우측 E/V 옆(2번출구) ,,,,,,,
178,5호선,송정,"송정역 B2층 1,4번 출구 사이",,,,,,,
179,5호선,김포공항,김포공항역 B2층 국내선 방면 무빙워크옆,,,,,,,
180,5호선,마곡,마곡역 B1층 환기실 우측(2번출구),,,,,,,
181,5호선,발산,발산역 B1층 9번 출구 방면,,,,,,,
182,5호선,우장산,"우장산역 B1층 3,4번 출구 방면",,,,,,,
183,5호선,화곡,"화곡역 B1층 3,4번 출구 방면 ",,,,,,,
184,5호선,까치산,까치산역 B1층 4번 출구 방면,,,,,,,
185,5호선,신정,"신정역 B2층 팔각의자 옆 (1,4,5 출구)",,,,,,,
186,5호선,목동,목동역 B1층 2번 출구 방면,,,,,,,
187,5호선,오목교,오목교역 B1층 7번 출구 방면(IBK현금지급기 옆),,,,,,,
188,5호선,영등포구청B,"영등포구청역 B4층 게이트 주변(6,7번출구)",,,,,,,
189,5호선,양평,"양평역 B1층 엘리베이터(E/V)주변(1,2번출구)",,,,,,,
190,5호선,영등포시장,영등포시장역 B2층 편의점(7-ELEVEN) 옆(1~4번출구) ,,,,,,,
191,5호선,신길,신길역 B3층 게이트 주변(3번출구),,,,,,,
192,5호선,여의나루,"여의나루역 B1층 1, 4번 출구 방면 (현금지급기 옆)",,,,,,,
193,5호선,여의도,여의도역 B1층 6번 출구 방면,,,,,,,
194,5호선,마포,"마포역 B1층 3, 4번 출구 방면 (조명광고 옆)",,,,,,,
195,5호선,애오개,"애오개역 B1층 화장실 주변(2번출구,E/V 주변)",,,,,,,
196,5호선,충정로B,"충정로역 B1층 화장실 주변(8,9번출구)",,,,,,,
197,5호선,서대문,"서대문역 B1층 4, 5번 출구 방면 (상가 맞은편)",,,,,,,
198,5호선,광화문A,광화문역 B1층 2번 출구 방면 (통로),,,,,,,
199,5호선,광화문B,"광화문역 B2층 고객상담실 앞(1,8번출구)",,,,,,,
200,5호선,종로3가D,"종로3가역 B1층 4, 5번 출구 방면 (게이트 주변)",,,,,,,
201,5호선,을지로4가B,"을지로4가역 B1층 편의점(7-ELEVEN) 주변(1,2번출구)",,,,,,,
202,5호선,동대문역사문화공원D,"동대문역사문화공원역 B2층 게이트 주변(6,7번출구)",,,,,,,
203,5호선,청구,"청구역 B1층 2, 3번 출구 방면",,,,,,,
204,5호선,신금호,신금호역 B1층 E/V 기계실 주변,,,,,,,
205,5호선,행당,행당역 B3층 화장실 주변,,,,,,,
206,5호선,왕십리B,"왕십리역 B1층 4, 5번 출구 방면",,,,,,,
207,5호선,왕십리C,6번출구 방향,,,,,,,
208,5호선,마장,마장역 B1층 편의점(7-ELEVEN) 주변,,,,,,,
209,5호선,답십리,답십리역 B2층 게이트 주변,,,,,,,
210,5호선,장한평,장한평역 B1층 화장실 주변,,,,,,,
211,5호선,아차산,아차산역 B1층  화장실 주변,,,,,,,
212,5호선,군자,"군자역 B1층 5, 6번 출구 방면",,,,,,,
213,5호선,광나루,"광나루역 B1층 3, 4번 출구 방면",,,,,,,
214,5호선,천호B,천호역 B1층 상가 현금지급기 주변,,,,,,,
215,5호선,천호A,천호역 B1층 3번출구 방면,,,,,,,
216,5호선,강동,강동역 B1층 화장실 주변,,,,,,,
217,5호선,길동,길동역 B1층 연결통로,,,,,,,
218,5호선,굽은다리,"굽은다리역 B1층 1, 2번 출구 방면",,,,,,,
219,5호선,명일,명일역 B1층 3번 출구 방면,,,,,,,
220,5호선,고덕,고덕역 B1층 E/V 주변,,,,,,,
221,5호선,상일동,상일동역 B1층 2번 출구 방면,,,,,,,
222,5호선,둔촌동,둔촌동역 B1층 편의점(7-ELEVEN) 주변,,,,,,,
223,5호선,올림픽공원A,올림픽공원역 B2층 용역창고 주변,,,,,,,
224,5호선,올림픽공원B,3번출구/B2층 용역창고 주변,,,,,,,
225,5호선,방이,방이역 B1층 1번 출구 방면 (판매기실 옆),,,,,,,
226,5호선,오금B,오금역 B1층 화장실 주변,,,,,,,
227,5호선,개롱,"개롱역 B1층 1, 4번 출구 방면",,,,,,,
228,5호선,거여,거여역 B2층  2번 출구 방면 (창고 옆),,,,,,,
229,5호선,마천,마천역 B2층 편의점(7-ELEVEN) 주변,,,,,,,
230,6호선,응암,"응암역 중층 1, 2번 출구 방면",,,,,,,
231,6호선,역촌,역촌역 B1층 3번 출구 방면,,,,,,,
232,6호선,불광B,불광역 중층 9번 출구 방면 (3호선 연결통로),,,,,,,
233,6호선,독바위,독바위역 B3층 고객상담실 주변,,,,,,,
234,6호선,연신내B,연신내역 B1층 게이트 내부 (고객상담실 주변),,,,,,,
235,6호선,구산,구산역 B1층 3번 출구 방면,,,,,,,
236,6호선,새절,새절역 B1층 4번 출구 방면,,,,,,,
237,6호선,증산,"증산역 B1층 3,4번 출구 방면 ",,,,,,,
238,6호선,디지털미디어시티,"디지털미디어시티역 B1층 1, 5번 출구 방면 (통로)",,,,,,,
239,6호선,월드컵경기장,월드컵경기장역 B1층 2번 출구 방면 (화장실 주변),,,,,,,
240,6호선,마포구청,"마포구청역 B2층 1,2,8번출구 방면(화장실 주변)",,,,,,,
241,6호선,망원,망원역 B1층 1번 출구 방면 (화장실 주변),,,,,,,
242,6호선,합정B,"합정역 B1층 5, 6번 출구 방면 (즉석사진기 주변)",,,,,,,
243,6호선,상수,상수역 B2층 게이트 주변 (휴게공간),,,,,,,
244,6호선,광흥창,"광흥창역 B1층 1, 2번 출구 방면 (만남의 광장)",,,,,,,
245,6호선,대흥,대흥역 B2층 만남의 광장 주변,,,,,,,
246,6호선,공덕,"공덕역 B1층 6, 7번 출구 방면 공덕역",,,,,,,
247,6호선,효창공원앞,효창공원앞역 B1층 1번 출구 방면 ,,,,,,,
248,6호선,삼각지B,"삼각지역 B1층 7, 8번 출구 방면(화장실 주변)",,,,,,,
249,6호선,녹사평,녹사평역 B1층 E/V 주변 (편의점 (7-ELEVEN) 주변),,,,,,,
250,6호선,이태원A,이태원역 B1층 화장실 주변,,,,,,,
251,6호선,한강진,한강진역 중층 1번 출구 방면,,,,,,,
252,6호선,버티고개,버티고개역 B1층 2번 출구 방면 (화장실 주변),,,,,,,
253,6호선,약수B,약수역 B1층 9번 출구 방면,,,,,,,
254,6호선,신당B,"신당역 B1층 11, 12번 출구 방면",,,,,,,
255,6호선,동묘앞B,"동묘앞역 B1층 4, 7번 출구 방면",,,,,,,
256,6호선,창신,창신역 B1층 4번 출구 방면 ,,,,,,,
257,6호선,보문,보문역 B1층 5~8번 출구 방면 ,,,,,,,
258,6호선,안암,"안암역 B1층 3, 4번 출구 방면",,,,,,,
259,6호선,고려대,"고려대역 B1층 5, 6번 출구 방면 (자전거 보관함 주변)",,,,,,,
260,6호선,월곡,월곡역 B1층 화장실 주변,,,,,,,
261,6호선,상월곡,"상월곡역 B2층 1, 4번 출구 방면(화장실 주변)",,,,,,,
262,6호선,돌곶이,돌곶이역 B1층 5~8번 출구 방면 (화장실 주변),,,,,,,
263,6호선,석계,"석계역 B1층 2, 3번 출구 방면",,,,,,,
264,6호선,이태원B,이태원역 B1층 화장실 앞,,,,,,,
265,6호선,화랑대,화랑대역 B1층 1~4번 출구 방면(자전거보관함 주변),,,,,,,
266,6호선,봉화산,봉화산역 B1층 3번 출구 방면,,,,,,,
267,7호선,부평구청,"부평구청역 B1층 6, 7번 출구 방면",,,,,,,
268,7호선,굴포천,"굴포천역 B1층 7, 8번 출구 방면 (i-센터 주변)",,,,,,,
269,7호선,삼산체육관,"삼산체육관역 B1층 1, 2번 출구 방면",,,,,,,
270,7호선,부천종합운동장,"부천종합운동장역 B1층 1, 2번 출구 방면",,,,,,,
271,7호선,상동,"상동역 B1층 7, 8번 출구 방면",,,,,,,
272,7호선,부천시청,부천시청역 B1층 5번 출구 방면 (게이트 정면),,,,,,,
273,7호선,신중동,신중동역 B1층 3번 출구 방면 (롯데백화점 방면),,,,,,,
274,7호선,춘의,"춘의역 B1층 7, 8번 출구 방면 (게이트 정면)",,,,,,,
275,7호선,까치울,"까치울역 B1층 3, 4번 출구 방면 (편의점(GS25) 주변)",,,,,,,
276,7호선,온수,온수역 B1층 고객상담실 주변(민원발급기 옆),,,,,,,
277,7호선,천왕,"천왕역 B1층 1, 3번 출구 방면 (화장실 맞은편)",,,,,,,
278,7호선,광명사거리,"광명사거리역 B1층 4, 5번 출구 방면",,,,,,,
279,7호선,철산,철산역 B1층 4번 출구 방면,,,,,,,
280,7호선,가산디지털,가산디지털역 B1층 화장실 주변 (2~4번 출구),,,,,,,
281,7호선,남구로,남구로역 B1층 게이트 주변 (2~5번 출구),,,,,,,
282,7호선,대림B,"대림역 B1층 게이트 주변 (9, 10번 출구)",,,,,,,
283,7호선,신풍,"신풍역 B1층 2, 3번 출구 방면",,,,,,,
284,7호선,보라매,보라매역 B1층 4번 출구 방면,,,,,,,
285,7호선,신대방삼거리,신대방삼거리역 B2층 화장실 주변,,,,,,,
286,7호선,장승배기,"장승배기역 B1층 1, 2번 출구 방면",,,,,,,
287,7호선,상도,상도역 B1층 1~5번 출구 방면 (B2층 계단 주변),,,,,,,
288,7호선,숭실대입구,"숭실대입구역 B1층 1, 2번 출구 방면 (편의점(GS25) 주변)",,,,,,,
289,7호선,남성,남성역 B1층 2번 출구 방면,,,,,,,
290,7호선,이수C,"이수역 B1층 5, 6번 출구 방면 (공연무대 주변)",,,,,,,
291,7호선,내방,내방역 B1층 대합실 (편의점(GS25) 주변),,,,,,,
292,7호선,고속터미널E,고속터미널역 B1층 3번 출구 방면 (화장실 주변),,,,,,,
293,7호선,반포,"반포역 B1층 1, 2번 출구 방면",,,,,,,
294,7호선,논현,논현역 B1층 7~8번 출구 방면 (편의점(GS25) 주변),,,,,,,
295,7호선,학동,"학동역 B2층 1, 2번 출구 화장실 주변",,,,,,,
296,7호선,강남구청,강남구청역 B2층 화장실 주변,,,,,,,
297,7호선,청담A,청담역  B3층 12번 출구 방면 (편의점(GS25) 주변),,,,,,,
298,7호선,청담B,"청담역 B3층 6~9번 방면 (쉼터, 화장품 및 편의점 주변)",,,,,,,
299,7호선,뚝섬유원지,"뚝섬유원지역 2층 2, 3번 출구 방면 (게이트 정면)",,,,,,,
300,7호선,건대입구D,건대입구역 B2층 3번 출구 방면(편의점(GS25) 주변),,,,,,,
301,7호선,건대입구E,"건대입구역 2층 환승(2→7)통로 (운임지역 내, 2번 출구)",,,,,,,
302,7호선,건대입구F,"건대입구역 2층 환승(2→7)통로 (운임지역 내, 2번 출구)",,,,,,,
303,7호선,어린이대공원,"어린이대공원역 B1층 1, 6번 출구 방면",,,,,,,
304,7호선,중곡,중곡역 B2층 게이트 주변,,,,,,,
305,7호선,용마산,"용마산역 B1층 만남의 광장 (편의점(GS25) 주변, 게이트 정면)",,,,,,,
306,7호선,사가정,"사가정역 B1층3, 4번 출구 방면 (게이트 주변)",,,,,,,
307,7호선,면목,면목역 B1층 1번 출구 방면(쉼터 주변),,,,,,,
308,7호선,상봉,"상봉역 B1층 1, 2, 5, 6번 출구 방면",,,,,,,
309,7호선,중화,"중화역 B1층 1, 4번 출구 방면 (만남의 광장 주변)",,,,,,,
310,7호선,먹골,"먹골역 B1층 1, 2번 출구 방면 (화장실 주변)",,,,,,,
311,7호선,태릉입구,"태릉입구역 B3층 3, 4번 출구 방면 (E/S, E/V 주변)",,,,,,,
312,7호선,공릉,공릉역 B1층 1~4번 출구 (화장실 주변),,,,,,,
313,7호선,하계,하계역 B1층 2~5번 출구 (화장실 주변),,,,,,,
314,7호선,중계,"중계역 B1층 1, 2번 출구 방면",,,,,,,
315,7호선,노원B,노원역 B1층 5~7번 출구 방면(E/V 주변),,,,,,,
316,7호선,마들,"마들역 B1층 4, 5번 출구 방면",,,,,,,
317,7호선,수락산,"수락산역 B2층 5, 6번 방면 (편의점(GS25) 주변)",,,,,,,
318,7호선,도봉산,도봉산역 1층 1번 출구 방면 (출입구 주변),,,,,,,
319,8호선,암사,암사역 B1층 4번 출구 방면,,,,,,,
320,8호선,강동구청,강동구청역 B1층 1~5번 출구 방면 (편의점(7-ELEVEN) 주변),,,,,,,
321,8호선,잠실F,"잠실역 B1층 10, 11번 출구 방면 (통로)",,,,,,,
322,8호선,몽촌토성,몽촌토성역 B1층 1~5번 출구 방면 (편의점(7-ELEVEN) 주변),,,,,,,
323,8호선,석촌A,"석촌역 B1층 7, 8번 출구 방면 (편의점(7-ELEVEN) 주변)",,,,,,,
324,8호선,송파,송파역 B1층 화장실 주변,,,,,,,
325,8호선,가락시장B,가락시장역 B1층 아기사랑방 주변 (1번 출구),,,,,,,
326,8호선,문정,"문정역 B1층 3, 4번 출구 방면",,,,,,,
327,8호선,장지,장지역 B1층 3번 출구 방면 (화장실 주변),,,,,,,
328,8호선,복정,"복정역 B1층 1, 2번 출구 방면",,,,,,,
329,8호선,수진,수진역 B1층 화장실 주변,,,,,,,
330,8호선,남한산성입구,"남한산성입구역 B1층 1, 2번 출구 방면",,,,,,,
331,8호선,단대오거리,"단대오거리역 B1층 1, 2번 출구 방면",,,,,,,
332,8호선,산성,산성역 B1층 대합실앞 내 (현금인출기 주변),,,,,,,
333,8호선,신흥,신흥역 B1층 대합실,,,,,,,
334,8호선,모란,모란역 B1층 10번 출구 방면 (편의점(7-ELEVEN) 주변),,,,,,,
335,9호선,삼전,1번출구 방향,,,,,,,
336,9호선,석촌고분,1번출구 방향,,,,,,,
337,9호선,석촌B,5번출구 방향,,,,,,,
338,9호선,송파나루,2번출구 방향,,,,,,,
339,9호선,한성백제,1번출구 방향,,,,,,,
340,9호선,올림픽공원C,9호선 게이트 앞,,,,,,,
341,9호선,둔촌오륜,1번출구 방향,,,,,,,
342,9호선,중앙보훈병원,2번출구 방향,,,,,,,
,,,,,,,,,,
